name,des
最后胜利,《最后胜利》是由谭家明执导，曾志伟、徐克主演的剧情片。影片讲述了黑道大哥入狱拜托不成材的小弟帮他照顾两个女人，其中的一个却与小弟产生了感情的故事。该片于1987年3月12日在香港上映。影片获第7届香港电影金像奖最佳电影提名。
小狐仙,《小狐仙》是永佳影业有限公司出品的是爱情喜剧电影，由王家卫编剧 ，陈勋奇、倪淑君主演。影片讲述了罗拨暗恋公司的创作经理CLEOPATRA，但CLEOPATRA却对他不屑一顾。顽皮的狐仙变成CLEOPATRA的模样引发了一连串的故事。
摆渡人,《摆渡人》是由阿里影业、泽东电影、和和影业联合出品的爱情喜剧片，由王家卫监制，张嘉佳执导并担任编剧，梁朝伟、金城武领衔主演，于2016年12月23日在中国内地上映。
空心大少爷,《空心大少爷》是陈勋奇导演，叶倩文、陈勋奇主演的电影，1983年在香港上映。讲述了大光灯是富家阔少爷，由法国返回香港，继承遗产，怎料继父已将全部遗产赠送慈善机构，遗下给他的只是四字真言：自力更生。
我要金龟婿,《我要金龟婿》是陈勋奇导演的一部电影，于1986年上映，陈勋奇、吕秀菱、秦沛、石坚主演，王家卫编剧。
龙凤智多星,《龙凤智多星》是由导演黎应就执导，王家卫编剧，张国荣、冯淬帆主演的电影。主要讲新加坡国际刑警西门汀（楼南光饰）被派来香港作警政交流，误会中被港方探长张荣（张国荣饰）拘捕，幸而谷督察及时澄清，还派张荣24小时保护西门汀的故事。
阿飞正传,《阿飞正传》是影之杰制作有限公司投资出品的经典文艺片，由王家卫执导，张国荣、张曼玉等主演，于1990年12月15日在中国香港上映。该片以1960年代初期的香港为背景，讲述了一位孤傲、叛逆青年的内心世界和情感纠葛，真实再现了香港普通青年的生活环境和社会状况。
地下铁,《地下铁》是改编自几米同名漫画的爱情片，由马伟豪执导，梁朝伟、杨千嬅主演。影片讲述一个盲女在地下铁的一段未知旅程中的经历和感受的点点滴滴。本片于2003年12月18日首映。
初缠恋后的二人世界,《初缠恋后的二人世界》是葛民辉执导，葛民辉、金城武等主演的剧情片。故事分为两段——“初缠”和“恋后”，讲述了两对恋人的爱情故事。该片在行业上被视为葛民辉对王家卫电影的一种无厘头的诠释和敬意，有着浓厚的实验色彩。
天下无双,《天下无双》是2002年由刘镇伟执导，王家卫监制的喜剧电影，梁朝伟、王菲主演。影片主要讲述在明朝正德年间，皇帝兄妹在皇宫生活感觉苦闷，私自来到江南，在梅龙镇上邂逅了在梅龙镇开了一间客栈的一对兄妹。两对兄妹不打不相识，斗气斗出爱的火花。该片于2002年2月6日在亚洲等地上映，国内票房成绩骄人。参展13个国际电影节，享誉国际。
渺渺,《渺渺》是一部由程孝泽执导，范植伟、柯佳嬿主演的爱情文艺片。影片讲述了日本来的交换生渺渺与热情奔放的同学小瑗，两个女孩在一个夏天里懵懂的感情，交杂了友情与爱情的青涩故事。本片于2008年11月14日上映。
逆光飞翔,电影《逆光飞翔》是由张荣吉执导的剧情片，张榕容、黄裕翔领衔主演。影片是根据真人真事改编而成，在2012年上映。影片讲述了天生失明但琴弹得好的裕翔，却因为不想被同情而不愿参加任何比赛。爱跳舞的小洁被迫放弃学舞，却交了个一跳街舞就闪耀着光芒的男友。两人相互鼓励一起追逐梦想的故事。
撞死了一只羊,《撞死了一只羊》是由上海繁花里企业发展有限公司出品制作的剧情片，由王家卫监制，万玛才旦编剧兼执导，藏族演员金巴、更登彭措领衔主演。该片改编自次仁罗布短篇小说《杀手》和万玛才旦短篇小说《撞死了一只羊》，讲述了因一宗复仇事件而引发的关于救赎和放下的的故事。该片于2018年9月4日在威尼斯电影节世界首映，于2019年4月26日在中国内地正式上映。
大唐玄奘,《大唐玄奘》是由中国电影股份有限公司等联合出品，霍建起导演，黄晓明、徐峥等主演的历史片。该片讲述的是唐朝高僧玄奘历时19年，不畏艰难险阻，前往天竺取经的传奇故事。影片于2016年4月29日在中国上映。
彩云曲,香港电影《彩云曲》由新艺城影业公司于1982年出品，由吴小云执导，徐杰、庄静而等主演。该片是刚刚走进演艺圈的刘德华出演的第一部电影。主要剧情是：安琪和在艺员训练班学习的方天慧原为学生时代的好友，天慧的男友家明爱上了安琪，安琪出于道义不曾接受，但后来与家明发生了关系，事后极为内疚和自责。天慧感觉到了男友对她并不真爱，全身投入训练，取得了优异的成绩。
射雕英雄传之东成西就,《射雕英雄传之东成西就》是由刘镇伟执导，洪金宝担任动作导演，张国荣、林青霞等人主演的喜剧电影。
