成果单元名称,新图号,旧图号,比例尺,成果类型,生产时间,版本,所属项目,密级,大地基准,高程基准,投影,数据格式,分发单位,链接地址,整体现势性
吉林市,K52,K-52,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

塔城市,L44,L-44,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

克拉玛依市,L45,L-45,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

青河县,L46,L-46,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

达来苏木,L49,L-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

西乌珠穆沁旗,L50,L-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

齐齐哈尔市,L51,L-51,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

哈尔滨市,L52,L-52,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

虎林市,L53,L-53,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

哈巴河县,M45,M-45,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

呼伦贝尔市,M50,M-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

嫩江县,M51,M-51,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

黑河市,M52,M-52,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

抚远县,M53,M-53,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

漠河县,N51,N-51,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

兴华乡,N52,N-52,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

